trial,seed,graph,gen,bestSpan_gen
1,1235,sd_3_100.txt,168,116
1,1235,sd_3_100.txt,169,116
1,1235,sd_3_100.txt,170,116
1,1235,sd_3_100.txt,171,116
1,1235,sd_3_100.txt,172,116
1,1235,sd_3_100.txt,173,116
1,1235,sd_3_100.txt,174,116
1,1235,sd_3_100.txt,175,116
1,1235,sd_3_100.txt,176,116
1,1235,sd_3_100.txt,177,116
1,1235,sd_3_100.txt,178,116
1,1235,sd_3_100.txt,179,116
1,1235,sd_3_100.txt,180,116
1,1235,sd_3_100.txt,181,116
1,1235,sd_3_100.txt,182,116
1,1235,sd_3_100.txt,183,116
1,1235,sd_3_100.txt,184,116
1,1235,sd_3_100.txt,185,116
1,1235,sd_3_100.txt,186,116
1,1235,sd_3_100.txt,187,116
1,1235,sd_3_100.txt,188,116
1,1235,sd_3_100.txt,189,116
1,1235,sd_3_100.txt,190,116
1,1235,sd_3_100.txt,191,116
1,1235,sd_3_100.txt,192,116
1,1235,sd_3_100.txt,193,116
1,1235,sd_3_100.txt,194,116
1,1235,sd_3_100.txt,195,116
1,1235,sd_3_100.txt,196,116
1,1235,sd_3_100.txt,197,116
1,1235,sd_3_100.txt,198,116
1,1235,sd_3_100.txt,199,116
1,1235,sd_3_100.txt,200,116
2,1236,sd_3_100.txt,1,137
2,1236,sd_3_100.txt,2,134
2,1236,sd_3_100.txt,3,134
2,1236,sd_3_100.txt,4,134
2,1236,sd_3_100.txt,5,134
2,1236,sd_3_100.txt,6,132
2,1236,sd_3_100.txt,7,132
2,1236,sd_3_100.txt,8,132
2,1236,sd_3_100.txt,9,132
2,1236,sd_3_100.txt,10,132
2,1236,sd_3_100.txt,11,132
2,1236,sd_3_100.txt,12,131
2,1236,sd_3_100.txt,13,129
2,1236,sd_3_100.txt,14,129
2,1236,sd_3_100.txt,15,129
2,1236,sd_3_100.txt,16,129
2,1236,sd_3_100.txt,17,129
2,1236,sd_3_100.txt,18,129
2,1236,sd_3_100.txt,19,129
2,1236,sd_3_100.txt,20,129
2,1236,sd_3_100.txt,21,127
2,1236,sd_3_100.txt,22,127
2,1236,sd_3_100.txt,23,127
2,1236,sd_3_100.txt,24,127
2,1236,sd_3_100.txt,25,127
2,1236,sd_3_100.txt,26,127
2,1236,sd_3_100.txt,27,127
2,1236,sd_3_100.txt,28,127
2,1236,sd_3_100.txt,29,127
2,1236,sd_3_100.txt,30,127
2,1236,sd_3_100.txt,31,127
2,1236,sd_3_100.txt,32,127
2,1236,sd_3_100.txt,33,127
2,1236,sd_3_100.txt,34,127
2,1236,sd_3_100.txt,35,127
2,1236,sd_3_100.txt,36,127
2,1236,sd_3_100.txt,37,126
2,1236,sd_3_100.txt,38,126
2,1236,sd_3_100.txt,39,126
2,1236,sd_3_100.txt,40,125
2,1236,sd_3_100.txt,41,125
2,1236,sd_3_100.txt,42,125
2,1236,sd_3_100.txt,43,125
2,1236,sd_3_100.txt,44,124
2,1236,sd_3_100.txt,45,124
2,1236,sd_3_100.txt,46,124
2,1236,sd_3_100.txt,47,124
2,1236,sd_3_100.txt,48,124
2,1236,sd_3_100.txt,49,124
2,1236,sd_3_100.txt,50,124
2,1236,sd_3_100.txt,51,124
